11,神秘的,現実離れした、夢の中にいるような神秘的な雰囲気をまとっている。
13,変わっている,一般的な魔術師のイメージとはかけ離れた、風変わりな人のような気がする。
15,優しい,その表情や声に穏やかさや優しさを感じた。
21,恐ろしい,底知れぬ恐怖を感じた。見た目ではなく魔術師として底知れなさを感じる。
23,完璧,一切の隙が無く、完璧な魔術師に見えた。
25,孤独,目の前にいるというのに、まるで遠方にいるかのような距離を感じた。
31,美しい,その姿やたたずまいに、息をのむほどの美しさを感じた。
33,疲れている,まるで何度も繰り返し生を受けているかのような疲労を感じた。
35,天才,ひと目で魔術師としての才能の違いが分かるのだと、初めて知った。
41,厳格,怖そうというのとは違う、厳しく真面目そうな人のように思えた。
43,謎めいている,ミステリアスな印象を与える、不思議な人だった。
45,暖かい,不思議な温もりを感じる、見た人を安心させる人だった。
51,憧れる,ひと目見てこの人のようになりたい、なるんだという気持ちにになった。
53,印象が無い,不思議と見た目も立ち居振る舞いも印象に残らない人だった。
55,隠している,何かを隠している。そんな不思議な印象を感じる人だった。
61,頼りない,一見すると、大丈夫かなという印象を与える人だった。
63,年齢不詳,若くも老人のようにも見える。見た目で年齢を推し量れない人だった。
65,普通の人,平凡というか、特別な印象を与えない、不思議な人だった。