11,師匠のように,あなたは師匠のような人間に、あるいは師匠のような魔術師になる。
13,古代への探求者,あなたは古代の魔術が持つ可能性に魅了され、その真髄の現代への復活を願う。
15,日常を守る,あなたは鍛えた魔術でこの世界にいる人々の日常を守ることを誓う。
21,魔術の革新者,あなたは既存の魔術の枠にとらわれず、新しい独創的な魔術を想像する魔術師となる。
23,最強の名,あなたは世界最強と人々から認められる魔術師になる。
25,開拓者,あなたは魔術を人々の生活向上や社会の発展の為に役立てたい。
31,旅人,あなたは魔術を修めて、広い世界をどこまでも旅するような大人になる。
33,魔術師協会の重鎮,あなたは魔術師協会で出世して、魔術師の地位をもっと高める。
35,不死の探求者,あなたは生命の根源や不死の魔術を極めて、不老不死を実現する魔術師となる。
41,師匠の謎を解く,あなたは師匠の過去や抱える謎に強く惹かれ、その秘密の全てを知りたいと願う。
43,勇者となる,あなたは魔王が復活した世界で魔王を倒す、勇者と呼ばれる魔術師となる。
45,呪いの克服,あなたは自身や他者が背負う呪いや宿命を打ち破り、自由な未来を切り開く。
51,共存,あなたは魔族すら含めて、争いの無い皆が共存できる世界を目指す。
53,運命改変,あなたは宿命や定められた運命に抗い、自らの手で未来を創造したい。
55,慈愛,あなたは誰かの苦しみに寄り添い、魔術の力で心身の傷を癒したいと願う。
61,師匠の相棒,あなたは魔術師として独立するよりも、師匠のかたわらで「かけがえのない日々」を過ごしたい。
63,伝説の語り部,あなたは過去の英雄や失われた物語をよみがえらせて、後世に語り継ぎたい。
65,帰還,あなたはここではないどこかにある、魂の故郷に帰りたいと願っている。