11,普通の子,あなたはごく普通の家庭に生まれ育った。平凡な日常の中で魔術に対する強い憧れを抱いてもよいし、興味もないのに魔術師の弟子になったことにしてもよい。
13,貴族の子弟,あなたは小さな貴族出身の子供だ。幼い頃から魔術に関する書物に触れて魔術師を目指したかもしれないし、魔術師くらい簡単になれるとこの道を選んだということにしてもよい。
15,孤児,両親を早くに亡くし、厳しい環境の中でひとりで生き抜いてきた。自分を守る力として魔術に惹かれてもよいし、魔術に美を見出したことにしてもよい。
21,農家出身,あなたは大地と共に生きる農家に生まれた。自然界に流れる魔力が魔術師の才能を育んだ。あるいは単純に農家の暮らしから抜け出したかったのかもしれない。
23,職人の子,あなたは職人の家に生まれ、手先の器用さや集中力を磨いてきた。それが魔術の適性を高めたのかもしれないし、魔術の方が儲かるから志したことにしてもよい。
25,商家の出身,商人の家に生まれて様々な物品を通じて、多様な文化や人々と出会い、魔術への興味を持ったことにしても、より儲かりそうだから選択したということでもよい。
31,旅芸人の子,旅の芸人の一座に身を置いていた。人前で何かを表現することに慣れており、魔術もその延長である。
33,図書館の助手,町の図書館で本の整理を手伝う中で、多くの知識に触れてきた。その結果魔術に強い興味を持ったかもしれない。
35,森の住人,あなたは人里離れた森の中で育った。動物や政令との交流を通じて自然界の隠された魔術の存在に幼い頃から振れてきた。
41,元兵士の子,あなたの親は元兵士だ。魔術師を目指したのは力強い親より更なる強さを求めたからかもしれないし、がさつな親と違う魔術師のたたずまいに惹かれたからかもしれない。
43,賢者の末裔,あなたはかつて賢者と呼ばれた偉大な魔術師の知を引く子供だ。その血筋ゆえ天才と呼ばれるかもしれないし、先祖に似合わぬ凡庸とみなされるかもしれない。
46,呪われし子,あなたは呪いにも似た過酷な人生を生きてきた。あなたは魔術師になってその呪いを解きたいのかもしれないし、呪いなど吹き飛ばす強さが欲しかったのかもしれない。
51,放浪の子,あなたは定住することなく、ひとりで、あるいは家族と各地を転々としてきた。魔術師としての旅はその延長なのかもしれない。
53,隠された才,あなたは感情が高ぶったり、危機に瀕した際に、真由津的な才能を普段以上に発揮できる。それはあなたに秘められた、隠された力によるものかもしれない。
55,遺跡の子供,あなたは各地の遺跡を探索する親に連れられ、古代遺跡に親しんで育った。古代の文明に興味や危機感を抱いていても良い。
61,精霊の愛し子,あなたは幼いころから精霊たちの声を聞くことができ、彼らに守られてきた。それゆえに魔術師としての有望株だと周囲は思っている。
63,災厄の生き残り,あなたは幼い頃、魔術的な大災厄に遭遇し、奇跡的に生き残った経験がある。それゆえに魔術という力に傾倒したとしてもよいし、逆に魔術を忌まわしいと思っていてもよい。
65,スティグマ,あなたは身体の一部に、神か魔族の特徴または刻印を秘めている。あなたが魔術師としての適性があるのはそのせいかもしれない。